标题,发布时间,用户名,播放量,弹幕数,时长
这才艺表演有点多！辣子鸡变辣椒油盖面！美食圈 吃货生活 成都探店 探店vlog 辣子鸡 重庆 川菜 豌杂面,5-4,密子君,45.6万,723,10:45
探秘全国最豪华印度菜！500/份手抓饭！？和街头美食有啥区别？,3-10,哇塞几张,119.2万,2760,06:55
日本用温泉蒸的美食？！多汁鲜嫩再搭配和牛肉便当～冰淇淋布丁也太好吃了吧！,5-30,小小白今天午休了吗,11.6万,131,05:21
日本一天的社恐美食！100块钱的一人烤肉和一兰拉面，和抹茶杏仁豆腐更配哦！,5-25,小小白今天午休了吗,37.2万,209,07:29
挑战一天250元的外卖可以吃到什么美食呢？算来算去还是不对呀,2021-4-5,嘴嘴深夜食堂,1267.2万,6015,02:07
