标题,发布时间,用户名,播放量,弹幕数,时长
世界读书日，你会很后悔没有早看到这些书！非常有利于年轻人发展【打开心智】,2022-4-23,歌白说Geslook,232.3万,1.2万,15:45
解读书籍《贫穷的本质》,2020-5-16,四時讀書,6.2万,33,20:55
摆地摊：2年真爱书单（618书籍大赏）,6-2,爱读书的十万,1678,1,16:23
不爱看小说？那就读社科！7本改变我三观的社科类书籍！,4-22,爱讲课的赵千梦,52.4万,922,09:57
书单推荐｜世界破破烂烂，还好有书籍｜小说 散文 社科 科普,5-11,左一弗利,9.5万,96,10:13
